5
bere 36
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic37.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic38.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic39.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic40.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic41.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic42.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic43.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic44.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic45.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic46.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic47.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic48.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic49.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic50.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic51.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic52.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic53.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic54.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic55.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic56.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic57.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic58.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic59.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic60.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic61.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic62.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic63.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic64.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic65.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic66.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic67.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic68.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic69.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic70.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic71.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic72.png 
caini 36
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic109.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic110.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic111.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic112.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic113.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic114.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic115.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic116.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic117.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic118.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic119.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic120.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic121.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic122.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic123.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic124.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic125.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic126.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic127.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic128.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic129.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic130.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic131.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic132.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic133.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic134.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic135.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic136.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic137.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic138.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic139.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic140.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic141.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic142.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic143.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic144.png 
minge 36
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic1.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic2.png 
